DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
TARRALEA,Tarraleah,TAS1,Hydro,Scheduled,15.0,In Service,,,
TATIARA1,Tatiara Meats,SA1,Gas Turbine,Non-scheduled,0.5,In Service,,,
TATURA01,Tatura Biomass Generator,VIC1,Gas Turbine,Non-scheduled,1.1,In Service,,,
TEMPB1,Templers BESS,SA1,Battery Storage,Scheduled,111.0,In Commissioning,2025.0,,
THEDROP1,The Drop,NSW1,Hydro,Non-scheduled,2.5,In Service,,,
TITREE,Ti Tree Bioenergy,QLD1,Gas Turbine,Non-scheduled,1.1,In Service,,,
TIMWEST,Timboon West Wind Farm,VIC1,Wind,Non-scheduled,3.6,In Service,,,
TOORAWF,Toora,VIC1,Wind,Non-scheduled,1.75,In Service,,,
TIB1,Torrens Island BESS,SA1,Battery Storage,Scheduled,2.3,In Service,,,
TOWER,Tower,NSW1,Other,Non-scheduled,1.03,In Service,,,
YABULU,Townsville Power Station - QPM,QLD1,Gas Turbine,Scheduled,160.0,In Service,,,
YABULU2,Townsville Power Station - QPM,QLD1,Gas Turbine,Scheduled,84.0,In Service,,,
TGNSS1,Traralgon Network Support Station,VIC1,Gas Turbine,Non-scheduled,10.0,In Service,,,
TREVALLN,Trevallyn,TAS1,Hydro,Scheduled,20.0,In Service,,,
TRIBUTE,Tribute,TAS1,Hydro,Scheduled,82.8,In Service,,,
TULLYSM1,Tully Sugar Mill,QLD1,Gas Turbine,Non-scheduled,32.0,In Service,,,
TUMUT3,Tumut 3,NSW1,Hydro,Scheduled,250.0,In Service,,,
TUNGATIN,Tungatinah,TAS1,Hydro,Scheduled,25.0,In Service,,,
ULPBESS1,Ulinda Park BESS,QLD1,Battery Storage,Scheduled,2.98,In Service,2026.0,,
UPPTUMUT,Upper Tumut,NSW1,Hydro,Scheduled,82.0,In Service,,,
URANQ11,Uranquinty,NSW1,Gas Turbine,Scheduled,173.0,In Service,,,
URANQ12,Uranquinty,NSW1,Gas Turbine,Scheduled,173.0,In Service,,,
URANQ13,Uranquinty,NSW1,Gas Turbine,Scheduled,173.0,In Service,,,
URANQ14,Uranquinty,NSW1,Gas Turbine,Scheduled,173.0,In Service,,,
VALDORA1,Valdora Solar Farm,QLD1,Solar PV,Non-scheduled,15.0,In Service,,,
VP5,Vales Point B,NSW1,Coal,Scheduled,660.0,In Service,,,
VP6,Vales Point B,NSW1,Coal,Scheduled,660.0,In Service,,,
VPGS1,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VPGS2,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VPGS3,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VPGS4,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VPGS5,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VPGS6,Valley Power,VIC1,Gas Turbine,Scheduled,50.0,In Service,,,
VBB1,Victorian Big Battery,VIC1,Battery Storage,Scheduled,300.0,In Service,,,
WAGGNSF1,Wagga North Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Commissioning,2023.0,,
WLWLSF1,Walla Walla Solar Farm,NSW1,Solar PV,Semi-scheduled,3.17,In Service,2025.0,,
WLWLSF2,Walla Walla Solar Farm,NSW1,Solar PV,Semi-scheduled,3.17,In Service,2025.0,,
WALGRV1,Wallgrove Grid Battery project,NSW1,Battery Storage,Scheduled,1.7,In Service,,,
WANDB1,Wandoan South BESS,QLD1,Battery Storage,Scheduled,100.0,In Service,,,
WANDSF1,Wandoan South Solar Stage 1,QLD1,Solar PV,Semi-scheduled,160.0,In Commissioning,2023.0,,
WARWSF1,Warwick Solar Farm,QLD1,Solar PV,Semi-scheduled,4.0,In Service,,,
WARWSF2,Warwick Solar Farm,QLD1,Solar PV,Semi-scheduled,4.0,In Service,,,
WATERLWF,Waterloo Wind Farm,SA1,Wind,Semi-scheduled,3.0,In Service,,,
WPWF,Wattle Point,SA1,Wind,Significant Non-scheduled,1.65,In Service,,,
WAUBRAWF,Waubra,VIC1,Wind,Significant Non-scheduled,1.5,In Service,,,
WELNSF1,Wellington North Solar Farm (Lightsource),NSW1,Solar PV,Semi-scheduled,4.2,In Service,,,
WELLSF1,Wellington Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
WEMENSF1,Wemen Solar Farm,VIC1,Solar PV,Semi-scheduled,2.5,In Service,,,
WESTILL1,West Illawarra Leagues Club,NSW1,Gas Turbine,Non-scheduled,0.72,In Service,,,
WKIEWA1,West Kiewa,VIC1,Hydro,Scheduled,17.0,In Service,,,
WKIEWA2,West Kiewa,VIC1,Hydro,Scheduled,17.0,In Service,,,
WSTWYSF1,West Wyalong Solar Farm,NSW1,Solar PV,Semi-scheduled,3.63,In Service,,,
WDBESS1,Western Downs Battery - Stage 1 And 2,QLD1,Battery Storage,Scheduled,1.82,In Commissioning,2025.0,,
WDBESS2,Western Downs Battery - Stage 1 And 2,QLD1,Battery Storage,Scheduled,1.82,In Commissioning,2026.0,,
WDGPH1,Western Downs Green Power Hub P/L,QLD1,Solar PV,Semi-scheduled,2.4,In Service,,,
WRSF1,White Rock Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
WRWF1,White Rock Wind Farm - Stage 1,NSW1,Wind,Semi-scheduled,2.5,In Service,,,
WHITSF1,Whitsunday Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
WHIT1,Whitwood Road,QLD1,Gas Turbine,Non-scheduled,0.5,In Service,,,
WILLHOV1,William Hovel,VIC1,Hydro,Non-scheduled,1.8,In Service,,,
WGWF1,Willogoleche Wind Farm,SA1,Wind,Semi-scheduled,3.43,In Service,,,
WHILL1,Windy Hill,QLD1,Wind,Non-scheduled,0.6,In Service,,,
WINTSF1,Winton Solar Farm,VIC1,Solar PV,Semi-scheduled,85.0,In Service,,,
W/HOE#1,Wivenhoe,QLD1,Hydro,Scheduled,285.0,In Service,,,
W/HOE#2,Wivenhoe,QLD1,Hydro,Scheduled,285.0,In Service,,,
WOLARSF1,Wollar Solar Farm,NSW1,Solar PV,Semi-scheduled,280.0,In Service,2025.0,,
WONWP,Wonthaggi Wind Farm,VIC1,Wind,Non-scheduled,2.0,In Service,,,
WDLNGN01,Woodlawn Bioreactor Energy Generation,NSW1,Other,Non-scheduled,1.07,In Service,,,
WOODLWN1,Woodlawn Wind Farm,NSW1,Wind,Semi-scheduled,2.1,In Service,,,
WOOLNTH1,Woolnorth Studland Bay / Bluff Point,TAS1,Wind,Significant Non-scheduled,1.75,In Service,,,
WOOLGSF1,Woolooga Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
WUNUSF1,Wunghnu Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Commissioning,2025.0,,
WYASF1,Wyalong Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
WYANGALA,Wyangala A,NSW1,Hydro,Non-scheduled,20.0,In Service,,,
WYANGALB,Wyangala B,NSW1,Hydro,Non-scheduled,4.0,In Service,,,
YSWF1,Yaloak South Wind Farm,VIC1,Wind,Significant Non-scheduled,2.05,In Service,,,
YAMBUKWF,Yambuk,VIC1,Wind,Significant Non-scheduled,1.5,In Service,,,
YARANSF1,Yarranlea Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
YWNGAHYD,Yarrawonga,VIC1,Hydro,Non-scheduled,4.75,In Service,,,
YARWUN_1,Yarwun 1,QLD1,Gas Turbine,Significant Non-scheduled,180.0,In Service,,,
YATSF1,Yatpool Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Service,,,
YAWWF1,Yawong Wind Farm,VIC1,Wind,Non-scheduled,3.6,In Service,,,
YENDWF1,Yendon Wind Farm,VIC1,Wind,Semi-scheduled,3.8,In Service,,,
