DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
Unknown,Liverpool Range Wind Farm,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,,,
Unknown,Lockhart Hybrid Facility - Battery,NSW1,Battery Storage,Scheduled,10.0,Committed,2026.0,,
Unknown,Lockhart Hybrid Facility - Solar,NSW1,Solar PV,Semi-scheduled,10.0,Committed,2026.0,,
Unknown,Lockyer Valley Energy Project,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Lockyer Valley Energy Project,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Lockyer Valley Energy Project,QLD1,Gas Turbine,Scheduled,58.5,Anticipated,2030.0,,
Unknown,Lockyer Valley Energy Project,QLD1,Gas Turbine,Scheduled,58.5,Anticipated,2030.0,,
Unknown,Long Plains Solar Farm And BESS,NSW1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
Unknown,Long Plains Solar Farm And BESS,NSW1,Solar PV,Semi-scheduled,150.0,Publicly Announced,,,
LRSF1,Longreach Solar Farm,QLD1,Solar PV,Significant Non-scheduled,2.14,In Service,,,
LONSDALE,Lonsdale,SA1,Gas Turbine,Scheduled,1.12,In Service,,,
Unknown,Lotus Creek Wind Farm,QLD1,Wind,Semi-scheduled,6.2,Committed,2027.0,,
Unknown,Lovely Banks Renewable Energy Hub - KCI,VIC1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Lower Wonga BESS,QLD1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
Unknown,Lower Wonga Solar Farm and BESS,QLD1,Battery Storage,Scheduled,281.0,Anticipated,2028.0,,
Unknown,Lower Wonga Solar Farm and BESS,QLD1,Solar PV,Scheduled,281.0,Anticipated,2028.0,,
LYA1,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LYA2,Loy Yang A Power Station,VIC1,Coal,Scheduled,530.0,In Service,,,
LYA3,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LYA4,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LOYYB1,Loy Yang B,VIC1,Coal,Scheduled,580.0,In Service,,,
LOYYB2,Loy Yang B,VIC1,Coal,Scheduled,580.0,In Service,,,
Unknown,Loy Yang B Power Station - BESS Stage 1 - KCI,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,2028.0,,
Unknown,LST02 Data Hall BESS,TAS1,Battery Storage,Scheduled,24.0,Publicly Announced,,,
LUCASHGT,Lucas Heights 2,NSW1,Other,Non-scheduled,1.15,In Service,,,
LUCAS2S2,Lucas Heights 2,NSW1,Other,Non-scheduled,1.15,In Service,,,
Unknown,LYA BESS,VIC1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
MACARTH1,Macarthur Wind Farm,VIC1,Wind,Semi-scheduled,3.0,In Service,,,
MCINTYR1,MacIntyre Wind Farm,QLD1,Wind,Semi-scheduled,5.7,In Commissioning,2025.0,,
Unknown,Mackenzie River Solar Farm,QLD1,Solar PV,Semi-scheduled,5.0,Publicly Announced,2031.0,,
Unknown,Mackenzie River Solar Farm,QLD1,Battery Storage,Scheduled,5.15,Publicly Announced,2031.0,,
MACKNTSH,Mackintosh,TAS1,Hydro,Scheduled,79.9,In Service,,,
Unknown,Madeline Downs BESS,QLD1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Magnetite Energy Hub,QLD1,Battery Storage,Scheduled,4.6,Publicly Announced,2031.0,,
Unknown,Magnetite Energy Hub,QLD1,Wind,Semi-scheduled,7.2,Publicly Announced,2031.0,,
Unknown,Magpie Hill Solar Farm,NSW1,Solar PV,Semi-scheduled,4.6,Publicly Announced,,,
Unknown,Magpie Hill Solar Farm,NSW1,Battery Storage,Scheduled,4.6,Publicly Announced,,,
Unknown,Maison Dieu BESS,NSW1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Maison Dieu Solar Farm,NSW1,Battery Storage,Scheduled,1.67,Publicly Announced,2032.0,,
Unknown,Maison Dieu Solar Farm,NSW1,Solar PV,Semi-scheduled,1.67,Publicly Announced,2032.0,,
Unknown,Majors Creek Solar Power Station,QLD1,Battery Storage,Scheduled,150.0,Anticipated,2029.0,,
Unknown,Majors Creek Solar Power Station,QLD1,Solar PV,Semi-scheduled,180.0,Anticipated,2029.0,,
Unknown,Mallee Wind Farm,NSW1,Battery Storage,Scheduled,2.58,Publicly Announced,2031.0,,
Unknown,Mallee Wind Farm,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,2031.0,,
Unknown,Malunga Nine Mile BESS - KCI,VIC1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Mangoplah BESS - KCI,NSW1,Battery Storage,Scheduled,1.0,Publicly Announced,2029.0,,
MANSLR1,Manildra Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
MAPS2PV1,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MAPS3PV1,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MANNUMB1,Mannum BESS,SA1,Battery Storage,Scheduled,100.0,In Service,2026.0,,
MANNSF2,Mannum Solar Farm 2,SA1,Solar PV,Semi-scheduled,2.73,In Commissioning,2024.0,,
Unknown,Mansfield Solar Farm - Solar - KCI,VIC1,Solar PV,Semi-scheduled,350.0,Publicly Announced,,,
Unknown,Mansfield Solar Farm - Storage - KCI,VIC1,Battery Storage,Scheduled,,Publicly Announced,,,
Unknown,Maranbah Solar Farm,QLD1,Solar PV,Semi-scheduled,160.0,Publicly Announced,,,
Unknown,Marcollat Energy Hub (Stage 1),SA1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Marcollat Energy Hub (stage 2),SA1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Markaranka Solar and Storage,SA1,Battery Storage,Scheduled,375.0,Publicly Announced,,,
Unknown,Markaranka Solar and Storage,SA1,Solar PV,Semi-scheduled,125.0,Publicly Announced,,,
Unknown,Marmadua Wind Farm (KCI),QLD1,Wind,Semi-scheduled,950.0,Publicly Announced,,,
MAROOWF1,Maroona Wind Farm,VIC1,Wind,Non-scheduled,3.45,In Service,,,
Unknown,Marulan - OCGT/CCGT,NSW1,Gas Turbine,Scheduled,800.0,Publicly Announced,,,
Unknown,Marulan BESS,NSW1,Battery Storage,Scheduled,1.45,Anticipated,2027.0,,
Unknown,Marulan Solar Farm,NSW1,Solar PV,Semi-scheduled,3.7,Anticipated,2027.0,,
MARYRSF1,Maryrorough Solar Farm,QLD1,Solar PV,Semi-scheduled,34.5,In Service,,,
Unknown,Maryvale Energy From Waste,VIC1,Other,Non-scheduled,70.0,Publicly Announced,,,
Unknown,Maryvale Solar and Energy Storage System,NSW1,Battery Storage,Scheduled,2.82,Anticipated,2027.0,,
Unknown,Maryvale Solar and Energy Storage System,NSW1,Solar PV,Semi-scheduled,2.82,Anticipated,2027.0,,
Unknown,Mavis Hybrid Facility - Solar,NSW1,Battery Storage,Scheduled,138.0,Publicly Announced,,,
Unknown,Mavis Hybrid Facility - Solar,NSW1,Solar PV,Semi-scheduled,4.2,Publicly Announced,,,
Unknown,Maxwell Downs Solar Farm - KCI,NSW1,Solar PV,Semi-scheduled,300.0,Publicly Announced,,,
Unknown,McCullys Gap BESS,NSW1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Meadow Creek BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,2026.0,,
Unknown,Meadow Creek Solar Farm - KCI,VIC1,Solar PV,Semi-scheduled,180.0,Publicly Announced,,,
MEADOWBK,Meadowbank,TAS1,Hydro,Scheduled,40.0,In Service,,,
Unknown,Meering West Wind Farm,VIC1,Wind,Semi-scheduled,7.5,Publicly Announced,2030.0,,
Unknown,MegaLink BESS,SA1,Battery Storage,Scheduled,4.2,Publicly Announced,2027.0,,
Unknown,Melbourne Grid Battery - KCI,VIC1,Battery Storage,Scheduled,140.0,Publicly Announced,,,
Unknown,Melbourne Regional Landfill,VIC1,Gas Turbine,Non-scheduled,8.88,In Service,,,
Unknown,Melbourne Renewable Energy Hub - Side B,VIC1,Battery Storage,Scheduled,0.98,Publicly Announced,2028.0,,
MREHA1,Melbourne Renewable Energy Hub Connection A1,VIC1,Battery Storage,Scheduled,1.93,In Service,,,
MREHA2,Melbourne Renewable Energy Hub Connection A2,VIC1,Battery Storage,Scheduled,1.93,In Service,,,
MREHA3,Melbourne Renewable Energy Hub Connection A3,VIC1,Battery Storage,Scheduled,0.98,In Service,,,
Unknown,Merino Solar Farm,NSW1,Battery Storage,Scheduled,3.22,Publicly Announced,,,
Unknown,Merino Solar Farm,NSW1,Solar PV,Semi-scheduled,3.38,Publicly Announced,,,
Unknown,Merriwa Solar Farm and BESS,NSW1,Battery Storage,Scheduled,500.0,Publicly Announced,,,
Unknown,Merriwa Solar Farm and BESS,NSW1,Solar PV,Semi-scheduled,500.0,Publicly Announced,2027.0,,
METZSF1,Metz Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Middle Creek Renewable Energy Hub - Wind,QLD1,Battery Storage,Scheduled,750.0,Publicly Announced,,,
Unknown,Middle Creek Renewable Energy Hub - Wind,QLD1,Wind,Semi-scheduled,750.0,Publicly Announced,,,
Unknown,Middlebrook Solar And BESS,NSW1,Battery Storage,Scheduled,2.54,Anticipated,2029.0,,
Unknown,Middlebrook Solar And BESS,NSW1,Solar PV,Semi-scheduled,3.14,Anticipated,2029.0,,
MIDDLSF1,Middlemount Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
Unknown,Midlands Hydro,TAS1,Hydro,Non-scheduled,6.0,In Service,,,
Unknown,Midwest BESS,NSW1,Battery Storage,Scheduled,53.0,Publicly Announced,,,
Unknown,Midwest Solar Farm,NSW1,Solar PV,Semi-scheduled,4.2,Publicly Announced,,,
Unknown,Mildura Power Station,VIC1,Solar PV,Semi-scheduled,9.6,Publicly Announced,,,
Unknown,Miles BESS Project,QLD1,Battery Storage,Scheduled,500.0,Publicly Announced,2030.0,,
Unknown,Miles Solar Project,QLD1,Solar PV,Semi-scheduled,500.0,Publicly Announced,2030.0,,
Unknown,Millmerran BESS - Storage,QLD1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
MPP_1,Millmerran Power Plant,QLD1,Coal,Scheduled,426.0,In Service,,,
MPP_2,Millmerran Power Plant,QLD1,Coal,Scheduled,426.0,In Service,,,
Unknown,Millmerran Wind Farm,QLD1,Wind,Semi-scheduled,250.0,Publicly Announced,,,
Unknown,Milpulling Wind Farm,NSW1,Wind,Semi-scheduled,8.0,Publicly Announced,2029.0,,
MINTARO,Mintaro GT,SA1,Gas Turbine,Scheduled,90.0,In Service,,,
Unknown,Miriam Vale Solar Farm And BESS - A,QLD1,Battery Storage,Scheduled,100.0,Publicly Announced,,,
Unknown,Miriam Vale Solar Farm And BESS - A,QLD1,Solar PV,Semi-scheduled,200.0,Publicly Announced,,,
Unknown,Miriam Vale Solar Farm And BESS - B,QLD1,Battery Storage,Semi-scheduled,100.0,Publicly Announced,,,
Unknown,Miriam Vale Solar Farm And BESS - B,QLD1,Solar PV,Scheduled,200.0,Publicly Announced,,,
Unknown,MNC000116 - Dubbo Firming Power Station,NSW1,Gas Turbine,Scheduled,57.0,Anticipated,,,
Unknown,Moah Creek Solar Farm,QLD1,Solar PV,Semi-scheduled,390.0,Publicly Announced,,,
Unknown,Moah Creek Wind Farm,QLD1,Wind,Semi-scheduled,6.0,Publicly Announced,2028.0,,
Unknown,Moama Solar Farm,NSW1,Solar PV,Semi-scheduled,3.55,Anticipated,2027.0,,
Unknown,Moama Solar Farm,NSW1,Solar PV,Semi-scheduled,3.55,Publicly Announced,2027.0,,
Unknown,Mobilong BESS,SA1,Battery Storage,Scheduled,5.63,Publicly Announced,,,
MOKOSF1,Mokoan Solar Farm,VIC1,Solar PV,Semi-scheduled,46.0,In Service,2025.0,,
Unknown,Mologa Solar Hybrid (PV + BESS),VIC1,Battery Storage,Scheduled,4.6,Publicly Announced,2030.0,,
Unknown,Mologa Solar Hybrid (PV + BESS),VIC1,Solar PV,Semi-scheduled,4.4,Publicly Announced,2030.0,,
Unknown,Molong BESS ,NSW1,Battery Storage,Scheduled,150.0,Publicly Announced,,,
MOLNGSF1,Molong Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
Unknown,Molonglo BESS,NSW1,Battery Storage,Non-scheduled,4.95,Publicly Announced,,,
Unknown,Monash Solar Farm - KCI,SA1,Solar PV,Semi-scheduled,100.0,Publicly Announced,,,
Unknown,Monduran BESS,QLD1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
Unknown,Moonah Solar Farm - KCI,VIC1,Solar PV,Semi-scheduled,4.2,Publicly Announced,2029.0,,
Unknown,Moonlight Range Wind Farm,QLD1,Battery Storage,Scheduled,400.0,Publicly Announced,,,
Unknown,Moonlight Range Wind Farm,QLD1,Wind,Semi-scheduled,400.0,Publicly Announced,,,
Unknown,Moorabool BESS,VIC1,Battery Storage,Scheduled,300.0,Publicly Announced,,,
MOORAWF1,Moorabool Wind Farm,VIC1,Wind,Semi-scheduled,3.0,In Service,,,
Unknown,Moorebank Logistics Park Project,NSW1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,Moorebank Logistics Park Project,NSW1,Solar PV,Semi-scheduled,2.0,Publicly Announced,,,
Unknown,Moranbah Generation Project,QLD1,Gas Turbine,Non-scheduled,1.57,In Service,,,
MBAHNTH,Moranbah North,QLD1,Other,Non-scheduled,3.04,In Service,,,
Unknown,Moree BESS,NSW1,Battery Storage,Scheduled,120.0,Publicly Announced,2027.0,,
MOREESF1,Moree Solar Farm,NSW1,Solar PV,Semi-scheduled,1.0,In Service,,,
Unknown,Moreton Hill Wind Farm,VIC1,Wind,Semi-scheduled,6.8,Publicly Announced,,,
Unknown,Morgan Battery,SA1,Battery Storage,Scheduled,30.0,Publicly Announced,,,
Unknown,Morgan Long Duration Energy Storage - KCI,SA1,Battery Storage,Scheduled,40.0,Publicly Announced,,,
Unknown,Morgan Solar,SA1,Solar PV,Semi-scheduled,6.8,Publicly Announced,2028.0,,
Unknown,Morgan Solar,SA1,Battery Storage,Scheduled,6.8,Publicly Announced,2028.0,,
MWPS1PV1,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS2PV1,Morgan To Whyalla Pipeline No 2 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS3PV1,Morgan To Whyalla Pipeline No 3 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS4PV1,Morgan To Whyalla Pipeline No 4 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Mornington BESS,VIC1,Battery Storage,Scheduled,240.0,Committed,2026.0,,
Unknown,Mornington BESS 2,VIC1,Battery Storage,Scheduled,300.0,Publicly Announced,2028.0,,
Unknown,Mortlake,VIC1,Gas Turbine,Scheduled,50.0,Publicly Announced,,,
Unknown,Mortlake,VIC1,Gas Turbine,Scheduled,50.0,Publicly Announced,,,
Unknown,Mortlake,VIC1,Gas Turbine,Scheduled,50.0,Publicly Announced,,,
Unknown,Mortlake,VIC1,Gas Turbine,Scheduled,50.0,Publicly Announced,,,
MORTLK11,Mortlake,VIC1,Gas Turbine,Scheduled,292.0,In Service,,,
MORTLK12,Mortlake,VIC1,Gas Turbine,Scheduled,292.0,In Service,,,
Unknown,Mortlake Battery,VIC1,Battery Storage,Scheduled,300.0,Committed,2026.0,,
Unknown,Mortlake Energy Hub,VIC1,Battery Storage,Scheduled,4.39,Anticipated,2028.0,,
Unknown,Mortlake Energy Hub,VIC1,Solar PV,Semi-scheduled,4.39,Anticipated,2028.0,,
MRTLSWF1,Mortlake South Wind Farm,VIC1,Wind,Semi-scheduled,4.5,In Service,,,
MLWF1,Mortons Lane Wind Farm,VIC1,Wind,Significant Non-scheduled,1.5,In Service,,,
Unknown,Morwell BESS,VIC1,Battery Storage,Scheduled,3.6,Publicly Announced,2028.0,,
Unknown,Mount Britton BESS1,QLD1,Battery Storage,Scheduled,377.54,Publicly Announced,,,
Unknown,Mount Britton BESS2,QLD1,Battery Storage,Scheduled,377.54,Publicly Announced,,,
MEWF1,Mount Emerald,QLD1,Wind,Semi-scheduled,3.41,In Service,,,
Unknown,Mount Fyans Wind Farm,VIC1,Wind,Semi-scheduled,6.8,Publicly Announced,2032.0,,
Unknown,Mount Hopeful BESS,QLD1,Battery Storage,Scheduled,430.0,Publicly Announced,2029.0,,
Unknown,Mount Hopeful Wind Farm,QLD1,Wind,Semi-scheduled,370.0,Publicly Announced,2028.0,,
Unknown,Mount Lambie Wind Farm,NSW1,Wind,Semi-scheduled,7.2,Publicly Announced,2031.0,,
Unknown,Mount Lambie Wind Farm,NSW1,Battery Storage,Scheduled,100.0,Publicly Announced,2031.0,,
MOUSF1,Moura Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Mt Arthur Pumped Hydro Energy Storage Project - KCI,NSW1,Hydro,Scheduled,285.0,Publicly Announced,,,
Unknown,Mt Challenger Wind Farm,QLD1,Wind,Semi-scheduled,7.2,Publicly Announced,2030.0,,
Unknown,Mt Challenger Wind Farm,QLD1,Battery Storage,Scheduled,60.0,Publicly Announced,2030.0,,
Unknown,Mt Cotton Biomass Cogeneration Power Station,QLD1,Gas Turbine,Scheduled,7.6,Publicly Announced,,,
Unknown,Mt Doran BESS,VIC1,Battery Storage,Scheduled,200.0,Publicly Announced,,,
Unknown,Mt Fox BESS - ARENA,QLD1,Battery Storage,Scheduled,300.0,Publicly Announced,2029.0,,
Unknown,Mt Fox Wind Farm,QLD1,Wind,Semi-scheduled,6.2,Publicly Announced,2032.0,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
Unknown,Mt Mercer BESS,VIC1,Battery Storage,Scheduled,80.0,Publicly Announced,,,
MERCER01,Mt Mercer Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
MTMILLAR,Mt Millar Wind Farm,SA1,Wind,Significant Non-scheduled,2.07,In Service,,,
MP1,Mt Piper,NSW1,Coal,Scheduled,730.0,In Service,,,
MP2,Mt Piper,NSW1,Coal,Scheduled,700.0,In Service,2027.0,,
Unknown,Mt Piper BESS,NSW1,Battery Storage,Scheduled,2.8,Anticipated,2028.0,,
Unknown,Mt Rawdon Pumped Hydro Energy Storage Project - KCI,QLD1,Hydro,Scheduled,340.0,Publicly Announced,,,
MSTUART1,Mt Stuart,QLD1,Gas Turbine,Scheduled,146.0,In Service,,,
MSTUART2,Mt Stuart,QLD1,Gas Turbine,Scheduled,146.0,In Service,,,
MSTUART3,Mt Stuart,QLD1,Gas Turbine,Scheduled,131.5,In Service,,,
Unknown,Mt View Wind Farm (KCI),QLD1,Wind,Semi-scheduled,750.0,Publicly Announced,,,
Unknown,Mugga Lane BESS,NSW1,Battery Storage,Scheduled,12.0,Publicly Announced,,,
Unknown,Mugga Lane Renewable Hybrid,NSW1,Gas Turbine,Scheduled,1.07,Committed,2024.0,,
Unknown,Mulgrave Central Mill,QLD1,Gas Turbine,Non-scheduled,9.0,In Service,,,
Unknown,Mullion Creek Wind Farm,NSW1,Solar PV,Semi-scheduled,7.58,Publicly Announced,,,
Unknown,Mulwala BESS,NSW1,Battery Storage,Scheduled,25.0,Publicly Announced,,,
Unknown,Mulwala Solar Farm,NSW1,Solar PV,Semi-scheduled,1.32,Committed,2026.0,,
MUCRKSF1,Munna Creek Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,Committed,2026.0,,
Unknown,Murilla Energy Hub,QLD1,Other,Semi-scheduled,1155.0,Publicly Announced,,,
MUWAWF1,Murra Warra Wind Farm - stage 1,VIC1,Wind,Semi-scheduled,3.7,In Service,,,
MUWAWF2,Murra Warra Wind Farm - stage 2,VIC1,Wind,Semi-scheduled,5.5,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MURRAY,Murray 2,VIC1,Hydro,Scheduled,150.0,In Service,,,
MURRAY,Murray 2,VIC1,Hydro,Scheduled,150.0,In Service,,,
MURRAY,Murray 2,VIC1,Hydro,Scheduled,150.0,In Service,,,
MURRAY,Murray 2,VIC1,Hydro,Scheduled,150.0,In Service,,,
MBPS2PV1,Murray Bridge - Onkaparinga Pipeline Pump 2,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
Unknown,Murrumburrah BESS - KCI,NSW1,Battery Storage,Scheduled,1.93,Publicly Announced,2030.0,,
Unknown,Muskerry Solar Power Station - KCI,VIC1,Solar PV,Semi-scheduled,200.0,Publicly Announced,,,
MUSSELR1,Musselroe Wind Farm,TAS1,Wind,Semi-scheduled,3.0,In Service,,,
Unknown,Muswellbrook BESS,NSW1,Battery Storage,Scheduled,1.93,Publicly Announced,2028.0,,
Unknown,Muswellbrook Pumped Hydro,NSW1,Hydro,Scheduled,400.0,Publicly Announced,,,
Unknown,Muswellbrook Solar Farm,NSW1,Solar PV,Semi-scheduled,135.0,Publicly Announced,,,
Unknown,Myrtle Creek BESS,NSW1,Battery Storage,Scheduled,275.0,Publicly Announced,,,
Unknown,Narrabri Hybrid Project,NSW1,Solar PV,Semi-scheduled,3.44,Publicly Announced,2028.0,,
Unknown,Narrabri Hybrid Project,NSW1,Battery Storage,Scheduled,2.6,Publicly Announced,2028.0,,
Unknown,Narrandera Solar Hybrid (PV+BESS),NSW1,Solar PV,Semi-scheduled,4.2,Publicly Announced,2030.0,,
Unknown,Narrandera Solar Hybrid (PV+BESS),NSW1,Battery Storage,Scheduled,4.6,Publicly Announced,2030.0,,
NASF1,Narromine Solar Farm,NSW1,Solar PV,Non-scheduled,2.3,In Service,,,
Unknown,Nebo BESS,QLD1,Battery Storage,Scheduled,3.6,Publicly Announced,2028.0,,
Unknown,Nebo BESS,QLD1,Battery Storage,Scheduled,3.6,Publicly Announced,2028.0,,
Unknown,Nebo BESS (Iberdrola) - KCI,QLD1,Battery Storage,Scheduled,280.0,Publicly Announced,,,
Unknown,Nemaroo Bimbi Wind Farm - KCI,QLD1,Wind,Semi-scheduled,800.0,Publicly Announced,,,
NEVERSF1,Nevertire Solar Farm,NSW1,Solar PV,Semi-scheduled,2.18,In Service,,,
Unknown,New England Solar Farm,NSW1,Solar PV,Semi-scheduled,320.0,Anticipated,2028.0,,
NEWENSF1,New England Solar Farm,NSW1,Solar PV,Semi-scheduled,200.0,In Service,,,
NEWENSF2,New England Solar Farm,NSW1,Solar PV,Semi-scheduled,200.0,In Service,,,
Unknown,New England Solar Farm BESS,NSW1,Battery Storage,Scheduled,100.0,Anticipated,2026.0,,
Unknown,New England Solar Farm BESS,NSW1,Battery Storage,Scheduled,100.0,Committed*,2026.0,,
NPS,Newport,VIC1,Gas Turbine,Scheduled,500.0,In Service,,,
Unknown,Nine Mile Energy Park Stage 1 - BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Nine Mile Energy Park Stage 2 - BESS,VIC1,Battery Storage,Scheduled,250.0,Publicly Announced,,,
Unknown,Noblevale BESS (KCI),QLD1,Battery Storage,Scheduled,200.0,Anticipated,2028.0,,
Unknown,Noika Solar - KCI,VIC1,Solar PV,Semi-scheduled,215.0,Publicly Announced,,,
Unknown,Nonowie Wind Farm,SA1,Wind,Semi-scheduled,1015.0,Publicly Announced,,,
Unknown,Normanville Energy Park,VIC1,Wind,Non-scheduled,7.2,Publicly Announced,2027.0,,
Unknown,Normanville Energy Park - Wind (KCI),VIC1,Wind,Semi-scheduled,120.0,Publicly Announced,,,
Unknown,North Burnett Renewable Hub - BESS,QLD1,Battery Storage,Scheduled,700.0,Publicly Announced,,,
Unknown,North Burnett Renewable Hub - Solar,QLD1,Solar PV,Semi-scheduled,700.0,Publicly Announced,,,
Unknown,North East Wind - KCI,TAS1,Wind,Semi-scheduled,7.2,Publicly Announced,2032.0,,
Unknown,North Queensland Energy Storage Project (NQESP) - Stage 1,QLD1,Battery Storage,Scheduled,2.5,Publicly Announced,2029.0,,
Unknown,North Queensland Energy Storage Project (NQESP) - Stage 1,QLD1,Gas Turbine,Scheduled,198.0,Publicly Announced,2029.0,,
Unknown,North Queensland Energy Storage Project (NQESP) - Stage 2,QLD1,Other,Scheduled,200.0,Publicly Announced,2030.0,,
Unknown,North Yarragon BESS - KCI,VIC1,Battery Storage,Scheduled,210.0,Publicly Announced,2029.0,,
Unknown,Northern Battery,SA1,Battery Storage,Scheduled,6.9,Publicly Announced,2028.0,,
Unknown,Northern Midlands Solar Farm - KCI,TAS1,Solar PV,Semi-scheduled,4.4,Anticipated,2027.0,,
Unknown,Northern Midlands Solar Farm - KCI,TAS1,Solar PV,Semi-scheduled,4.4,Anticipated,2027.0,,
Unknown,Northern Tablelands Wind Farm,NSW1,Wind,Semi-scheduled,8.0,Publicly Announced,,,
Unknown,Nottingham Park Solar Farm - KCI,NSW1,Solar PV,Semi-scheduled,210.0,Publicly Announced,,,
Unknown,Novocastrian Offshore Wind Farm,NSW1,Wind,Semi-scheduled,2000.0,Publicly Announced,2031.0,,
Unknown,Nowingi Solar Farm - Edify (KCI),VIC1,Solar PV,Semi-scheduled,360.0,Publicly Announced,2028.0,,
Unknown,Nowingi Solar Farm - Edify (KCI),VIC1,Battery Storage,Scheduled,300.0,Publicly Announced,2028.0,,
Unknown,Nowingi Solar Storage - Solar,VIC1,Solar PV,Semi-scheduled,250.0,Publicly Announced,,,
Unknown,Nowingi Solar Storage - Storage,VIC1,Battery Storage,Scheduled,80.0,Publicly Announced,,,
Unknown,NSW Gas Peaker,NSW1,Gas Turbine,Scheduled,500.0,Publicly Announced,,,
NUMURSF1,Numurkah Solar Farm,VIC1,Solar PV,Semi-scheduled,1.81,In Service,,,
Unknown,Nyaninyuk Wind Farm,VIC1,Wind,Semi-scheduled,5.7,Publicly Announced,2028.0,,
NYNGAN1,Nyngan Solar Plant,NSW1,Solar PV,Semi-scheduled,1.33,In Service,,,
OAKEY2SF,Oakey 2 Solar Farm,QLD1,Solar PV,Semi-scheduled,2.14,In Service,,,
OAKEY1,Oakey Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
